loss,val_loss
0.017175734043121338,0.009786871261894703
0.0056616454385221004,0.0029122589621692896
0.002458703937008977,0.0023974126670509577
0.002104752231389284,0.0023478027433156967
0.0018433331279084086,0.001776664168573916
0.0017915822099894285,0.0022135796025395393
0.0015585373621433973,0.0015323637053370476
0.0015054505784064531,0.0014806833351030946
0.001417983090505004,0.0014423694228753448
0.0013511154102161527,0.0013894325820729136
0.0012991804396733642,0.001346037955954671
0.001233678893186152,0.0013133883476257324
0.0011660476448014379,0.0012822204735130072
0.0011013064067810774,0.0012040790170431137
0.0009939410956576467,0.001125533482991159
0.0009061074233613908,0.0010452750138938427
0.0008562633884139359,0.0009873636299744248
0.0008250920218415558,0.0009419606067240238
0.0007913279114291072,0.0009001794969663024
0.000749021943192929,0.0008653683471493423
0.0007116332417353988,0.00082101282896474
0.0006679695216007531,0.0007652376079931855
0.0006275120540522039,0.0007132940227165818
0.000576747814193368,0.0006616346072405577
0.0005355405737645924,0.0006133563001640141
0.0004905617679469287,0.0005478363018482924
0.0004424664657562971,0.0004837736487388611
0.000410137145081535,0.00042655508150346577
0.00038989834138192236,0.00038064023829065263
0.00036703867954201996,0.00035143663990311325
0.00035414472222328186,0.00033649487886577845
0.00033937866101041436,0.0003225940454285592
0.00032769315293990076,0.0003162691427860409
0.00031919925822876394,0.0003134274738840759
0.0003106907824985683,0.0003102853079326451
0.0003037140122614801,0.0003040503361262381
0.00029665831243619323,0.00029767880914732814
0.0002905669098254293,0.0002910977345891297
0.00028557065525092185,0.0002840606903191656
0.0002775824978016317,0.0002761944488156587
0.00027337484061717987,0.0002710838452912867
0.0002687939559109509,0.0002642119361553341
0.00026029266882687807,0.0002575676189735532
0.0002561946166679263,0.00025417536380700767
0.00024939022841863334,0.0002524584415368736
0.000246061768848449,0.0002512770879548043
0.00023914450139272958,0.00025050321710295975
0.0002334782766411081,0.0002501251583453268
0.00022682872076984495,0.00024745671544224024
0.00022204320703167468,0.00024369315360672772
